1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,forecast_id,term,semester,department,section_code,title,instructors,part_of_term,start_date,end_date,start_time,stop_time,days_code,start_category,credits,capacity,aggregated_capacity,truncated_price_prediction,price_prediction_residual_mean,bias_corrected,price_prediction_residual_std_dev
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACCT6130001,2026,Spring,ACCT,ACCT6130,Fundamentals of Financial and Managerial Accounting,LANE,Full,01 20 2026,04 23 2026,8:30 AM,10:00 AM,MW,A,1,78,312,0,0,0,0
1072,1191,1039,677,1341,1518,1031,1646,875,136,1150,1033,926,909,697,1710,1070,978,1028,1253,700,958,1579,1195,1215,1282,1813,1122,73,1057,1690,1025,1345,1037,1313,453,942,1087,736,1448,1017,1819,952,1020,999,58,1458,1275,1045,863,1375,1255,1406,1432,1457,981,1035,1070,1627,718,731,1833,991,1492,1453,956,1015,271,1798,1040,1148,862,1033,1015,165,1032,1021,1379,0,980,962,1828,1155,931,953,880,1727,1038,1166,849,821,436,476,1024,993,854,1323,1513,687,1181,ACCT6130002,2026,Spring,ACCT,ACCT6130,Fundamentals of Financial and Managerial Accounting,LANE,Full,01 20 2026,04 23 2026,10:15 AM,11:45 AM,MW,B,1,78,312,1068,4,1072,389
23,0,0,0,36,0,46,53,295,0,270,21,0,0,0,0,579,0,31,0,0,32,22,6,0,0,551,97,0,151,711,0,0,313,198,0,0,437,29,0,0,0,0,0,0,0,0,0,124,0,4,0,206,0,0,0,21,0,0,14,58,0,667,491,0,18,30,457,16,0,176,0,143,630,0,0,0,0,73,0,33,112,31,0,23,21,0,119,44,0,0,40,0,0,19,27,129,0,0,0,ACCT6130003,2026,Spring,ACCT,ACCT6130,Fundamentals of Financial and Managerial Accounting,ZHU,Full,01 20 2026,04 23 2026,10:15 AM,11:45 AM,MW,B,1,78,312,0,76,76,160
0,0,0,394,0,0,25,0,0,95,286,24,282,103,115,107,121,41,0,39,0,0,0,202,22,73,25,97,0,8,36,0,0,0,7,0,0,0,10,18,21,0,0,12,0,24,39,91,0,0,10,0,0,0,0,0,0,37,53,0,0,16,43,0,42,0,0,62,70,247,39,161,55,516,20,23,10,13,537,0,0,0,0,76,0,0,0,0,137,0,0,0,0,0,384,0,0,98,0,0,ACCT6130004,2026,Spring,ACCT,ACCT6130,Fundamentals of Financial and Managerial Accounting,ZHU,Full,01 20 2026,04 23 2026,12:00 PM,1:30 PM,MW,C,1,78,312,0,50,50,102
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACCT7060002,2026,Spring,ACCT,ACCT7060,Cost Management,ITTNER,Q2,03 16 2026,04 23 2026,12:00 PM,1:30 PM,TR,C,0.5,78,78,0,0,0,0
0,529,641,282,341,422,0,606,29,739,172,278,36,311,332,0,134,0,256,41,509,131,228,240,249,0,0,0,728,207,164,275,555,455,0,253,265,267,0,507,354,0,0,433,366,550,102,353,787,0,33,0,475,466,499,0,0,91,674,0,323,669,28,0,360,0,0,0,318,141,264,547,699,0,502,13,358,243,353,227,373,153,598,222,0,71,400,151,183,0,0,421,252,236,304,483,518,45,156,73,ACCT7420401,2026,Spring,ACCT,ACCT7420,Financial Reporting and Business Analysis,FISCHER,Full,01 20 2026,04 23 2026,3:30 PM,5:00 PM,TR,E,1,38,38,203,47,251,220
644,633,329,1642,1046,974,636,888,1282,1670,645,1096,986,632,637,646,635,234,24,1407,640,502,446,638,640,633,636,633,635,633,652,1838,635,945,652,636,633,647,730,638,623,1079,461,628,643,636,1381,632,636,831,637,640,639,633,1417,635,627,648,637,1031,1111,650,634,636,857,894,1627,890,1416,1026,637,641,1612,924,508,641,635,638,1103,635,633,637,628,639,1136,639,643,692,638,641,640,641,587,643,909,639,177,634,396,643,ACCT7430401,2026,Spring,ACCT,ACCT7430,"Accounting for Mergers, Acquisitions and Complex Financial Structures",FISCHER,Full,01 20 2026,04 23 2026,10:15 AM,11:45 AM,TR,B,1,25,25,638,125,764,316
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACCT7470001,2026,Spring,ACCT,ACCT7470,Financial Disclosure Analytics,BUSHEE,Full,01 20 2026,04 23 2026,8:30 AM,10:00 AM,TR,A,1,100,200,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACCT7470002,2026,Spring,ACCT,ACCT7470,Financial Disclosure Analytics,BUSHEE,Full,01 20 2026,04 23 2026,10:15 AM,11:45 AM,TR,B,1,100,200,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACCT7900401,2026,Spring,ACCT,ACCT7900,Accounting for Entrepreneurs,ITTNER,Full,01 20 2026,04 23 2026,10:15 AM,11:45 AM,TR,B,1,48,48,0,0,0,0
